timestamp,y_true,eq_step1_thr0.010_no_tc,eq_step1_thr0.010_tc,eq_step1_thr0.015_no_tc,eq_step1_thr0.015_tc,eq_step1_thr0.020_no_tc,eq_step1_thr0.020_tc,eq_step1_thr0.025_no_tc,eq_step1_thr0.025_tc,eq_step1_thr0.030_no_tc,eq_step1_thr0.030_tc
2018-01-14 23:00:00,13563.1103515625,102411.99431842615,98295.60499887292,106645.80617543013,103699.48070402842,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 00:00:00,13334.919921875,102411.99431842615,98197.30939387405,106645.80617543013,103699.48070402842,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 01:00:00,13474.1298828125,103481.12482780495,99123.21823894471,107759.13558414114,104677.26988181504,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 02:00:00,13435.5703125,103481.12482780495,99024.09502070576,107759.13558414114,104572.59261193323,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 03:00:00,13585.0,103481.12482780495,99024.09502070576,107759.13558414114,104572.59261193323,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 04:00:00,13647.990234375,103481.12482780495,99024.09502070576,107759.13558414114,104572.59261193323,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 05:00:00,13732.75,103481.12482780495,99024.09502070576,107759.13558414114,104572.59261193323,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 06:00:00,13654.66015625,103481.12482780495,99024.09502070576,107759.13558414114,104572.59261193323,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 07:00:00,13545.2099609375,102651.66227114246,98132.12784176925,107759.13558414114,104572.59261193323,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 08:00:00,13580.0,102915.31675494467,98384.17417923814,107759.13558414114,104572.59261193323,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 09:00:00,13639.7998046875,102915.31675494467,98285.7900050589,107759.13558414114,104572.59261193323,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 10:00:00,13616.7197265625,102915.31675494467,98285.7900050589,107759.13558414114,104572.59261193323,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 11:00:00,13783.08984375,102915.31675494467,98285.7900050589,107759.13558414114,104572.59261193323,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 12:00:00,13650.0,103909.06950426802,99135.6050939079,107759.13558414114,104572.59261193323,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 13:00:00,13602.73046875,103549.23558426139,98594.71693164622,107759.13558414114,104572.59261193323,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 14:00:00,13710.0,103549.23558426139,98496.12221471457,107759.13558414114,104572.59261193323,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 15:00:00,13788.6396484375,103549.23558426139,98496.12221471457,107759.13558414114,104572.59261193323,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 16:00:00,13800.0,103549.23558426139,98496.12221471457,107759.13558414114,104572.59261193323,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 17:00:00,14182.91015625,103549.23558426139,98496.12221471457,107759.13558414114,104572.59261193323,103116.6536242834,101073.79566100668,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 18:00:00,14212.2099609375,103335.31810577959,98194.35108092168,107536.52107194824,104252.20446743985,102903.62979645573,100764.1270849496,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 19:00:00,14150.01953125,103335.31810577959,98096.15672984076,107536.52107194824,104147.95226297241,102903.62979645573,100663.36295786465,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 20:00:00,14098.0,103335.31810577959,98096.15672984076,107536.52107194824,104147.95226297241,102903.62979645573,100663.36295786465,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 21:00:00,14170.849609375,103335.31810577959,98096.15672984076,107536.52107194824,104147.95226297241,102903.62979645573,100663.36295786465,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 22:00:00,13940.0,103335.31810577959,98096.15672984076,107536.52107194824,104147.95226297241,102903.62979645573,100663.36295786465,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-15 23:00:00,13942.1796875,103351.47583183294,98013.38375443485,107553.33570686748,104060.07281714478,102919.72002282388,100578.42378854188,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-16 00:00:00,13934.009765625,103351.47583183294,97915.37037068041,107553.33570686748,103956.01274432764,102919.72002282388,100477.84536475335,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-16 01:00:00,13755.0,103351.47583183294,97915.37037068041,107553.33570686748,103956.01274432764,102919.72002282388,100477.84536475335,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-16 02:00:00,13939.580078125,104738.3623082687,99130.07975392266,108996.60747039915,105245.66056618583,102919.72002282388,100477.84536475335,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-16 03:00:00,13808.48046875,105723.4105169116,99862.25816077732,108996.60747039915,105140.41490561965,102919.72002282388,100477.84536475335,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-16 04:00:00,13607.0400390625,104181.09966737591,98208.63988355148,107406.54667457107,103503.00228497514,102919.72002282388,100477.84536475335,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-16 05:00:00,13250.0,101447.4541582842,95631.70790424982,104588.26749628042,100787.14961805966,100219.17230989289,97743.52951220781,101150.46567357285,99943.31381311145,100447.53587109111,100046.34801113229
2018-01-16 06:00:00,13059.0595703125,99985.5356309117,94253.59776093006,103081.0879690343,99334.74647428225,98774.95405904183,96334.98675566187,99692.82692800283,98404.56777744292,99000.02676465514,98506.01564159415
2018-01-16 07:00:00,13162.7099609375,100779.1256876225,95001.69314813091,103899.24757513101,100123.17118582128,98774.95405904183,96238.6517689062,99692.82692800283,98306.16320966548,99000.02676465514,98407.50962595255
2018-01-16 08:00:00,12931.5400390625,100779.1256876225,94906.69145498278,103899.24757513101,100023.04801463545,98774.95405904183,96238.6517689062,99692.82692800283,98306.16320966548,99000.02676465514,98407.50962595255
2018-01-16 09:00:00,13006.990234375,101367.13026353419,95364.97236970045,104505.4567736244,100506.03454840097,98774.95405904183,96238.6517689062,99692.82692800283,98306.16320966548,99000.02676465514,98407.50962595255
2018-01-16 10:00:00,13098.849609375,101367.13026353419,95269.60739733075,104505.4567736244,100405.52851385258,98774.95405904183,96238.6517689062,99692.82692800283,98306.16320966548,99000.02676465514,98407.50962595255
2018-01-16 11:00:00,13157.8896484375,101367.13026353419,95269.60739733075,104505.4567736244,100405.52851385258,98774.95405904183,96238.6517689062,99692.82692800283,98306.16320966548,99000.02676465514,98407.50962595255
2018-01-16 12:00:00,12429.08984375,101367.13026353419,95269.60739733075,104505.4567736244,100405.52851385258,98774.95405904183,96238.6517689062,99692.82692800283,98306.16320966548,99000.02676465514,98407.50962595255
2018-01-16 13:00:00,12215.0703125,99621.66490960335,93535.50764091221,102705.95180963019,98577.94459390642,97074.12401977822,94486.91344280512,97976.19181180827,96516.79198904788,97295.32114354617,96616.29369535242
2018-01-16 14:00:00,11487.849609375,93690.7176986071,87966.89805508195,96591.38246378783,92709.1349721691,91294.84392405371,88861.66218578434,92143.20736914151,90770.69249571803,91502.87214058163,90864.27039651267
2018-01-16 15:00:00,11809.830078125,96316.67314091226,90432.42676875388,99298.6374906573,95307.57869756271,93853.64802061293,91352.26927217357,94725.78932396037,93314.80572076255,94067.50683424549,93411.00641497693
2018-01-16 16:00:00,12417.91015625,91357.39347805324,85604.57068356765,99298.6374906573,95212.27111886514,93853.64802061293,91260.91700290139,94725.78932396037,93221.4909150418,94067.50683424549,93317.59540856196
2018-01-16 17:00:00,12191.0302734375,93026.52737140196,87168.59834365883,101112.86089490559,96854.88323955708,95568.38942206567,92835.359946577,96456.46507460791,94829.75788616418,94067.50683424549,93317.59540856196
2018-01-16 18:00:00,11718.8095703125,89423.13609278988,83624.53026736151,97196.2447274593,92916.9938362019,91866.53887808482,89060.89480901558,92720.21483678122,90974.20526752088,90423.79311832853,89613.22665259922
